p,o,p1,o1
swc:completeGraph,iswc2012:complete,dgtwc:number_of_triples,15865
swc:completeGraph,iswc2012:complete,dcterms:hasVersion,iswc2012 metadata v20121030
swc:completeGraph,iswc2012:complete,dcterms:modified,2012-10-30T09:32:53-0700
swc:completeGraph,iswc2012:complete,rdf:type,dgtwc:Dataset
swc:hasAcronym,ISWC2012,,
swc:hasRelatedDocument,iswc2012:industry-proceedings,swrc:booktitle,Proceedings of the ISWC 2012 Industry Track
swc:hasRelatedDocument,iswc2012:industry-proceedings,swrc:listEditor,"Tim Berners-Lee,Tom Heath, Ivan Herman"
swc:hasRelatedDocument,iswc2012:industry-proceedings,swrc:month,Nov
swc:hasRelatedDocument,iswc2012:industry-proceedings,swrc:year,2012
swc:hasRelatedDocument,iswc2012:industry-proceedings,rdf:type,swc:Proceedings
swc:hasRelatedDocument,iswc2012:industry-proceedings,rdfs:label,Proceedings of the ISWC 2012 Industry Track
swc:hasRelatedDocument,iswc2012:poster-demo-proceedings,dcterms:identifier,urn:nbn:de:0074-914-3
swc:hasRelatedDocument,iswc2012:poster-demo-proceedings,swrc:booktitle,Proceedings of the ISWC 2012 Posters & Demonstrations Track
swc:hasRelatedDocument,iswc2012:poster-demo-proceedings,swrc:listEditor,"Birte Glimm, David Huynh"
swc:hasRelatedDocument,iswc2012:poster-demo-proceedings,swrc:month,Nov
swc:hasRelatedDocument,iswc2012:poster-demo-proceedings,swrc:year,2012
swc:hasRelatedDocument,iswc2012:poster-demo-proceedings,rdf:type,swc:Proceedings
swc:hasRelatedDocument,iswc2012:poster-demo-proceedings,rdfs:label,Proceedings of the ISWC 2012 Posters & Demonstrations Track
swc:hasRelatedDocument,iswc2012:poster-demo-proceedings,foaf:homepage,http://ceur-ws.org/Vol-914/
swc:hasRelatedDocument,iswc2012:proceedings,swrc:booktitle,"Proceedings of 11th International Semantic Web Conference (ISWC2012), November 11 - November 15, 2012"
swc:hasRelatedDocument,iswc2012:proceedings,swrc:listEditor,"Philippe Cudré-Mauroux, Jeff Heflin, Evren Sirin, Tania Tudorache, Jérôme Euzenat, Manfred Hauswirth, Josiane Xavier Parreira, Jim Hendler, Guus Schreiber, Abraham Bernstein, Eva Blomqvist"
swc:hasRelatedDocument,iswc2012:proceedings,swrc:month,Nov
swc:hasRelatedDocument,iswc2012:proceedings,swrc:year,2012
swc:hasRelatedDocument,iswc2012:proceedings,rdf:type,swc:Proceedings
swc:hasRelatedDocument,iswc2012:proceedings,rdfs:label,Proceedings of ISWC 2012
swc:hasRelatedDocument,iswc2012:semantic-web-challenge-proceedings,swrc:booktitle,Proceedings of the Semantic Web Challenge 2012
swc:hasRelatedDocument,iswc2012:semantic-web-challenge-proceedings,swrc:listEditor,"Diana Maynard, Andreas Harth"
swc:hasRelatedDocument,iswc2012:semantic-web-challenge-proceedings,swrc:month,Nov
swc:hasRelatedDocument,iswc2012:semantic-web-challenge-proceedings,swrc:year,2012
swc:hasRelatedDocument,iswc2012:semantic-web-challenge-proceedings,rdf:type,swc:Proceedings
swc:hasRelatedDocument,iswc2012:semantic-web-challenge-proceedings,rdfs:label,Proceedings of the Semantic Web Challenge 2012
swc:hasRole,iswc2012:chair/doctoral-consortium,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/doctoral-consortium,rdfs:label,ISWC2012 Doctoral Consortium Chair
swc:hasRole,iswc2012:chair/evaluation,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/evaluation,rdfs:label,ISWC2012 Evaluation Chair
swc:hasRole,iswc2012:chair/fellowship,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/fellowship,rdfs:label,ISWC2012 Fellowship Chair
swc:hasRole,iswc2012:chair/general,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/general,rdfs:label,ISWC2012 General Chair
swc:hasRole,iswc2012:chair/industry,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/industry,rdfs:label,ISWC2012 Industry Chair
swc:hasRole,iswc2012:chair/inuse,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/inuse,rdfs:label,ISWC2012 Semantic Web In Use Chair
swc:hasRole,iswc2012:chair/local,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/local,rdfs:label,ISWC2012 Local Chair
swc:hasRole,iswc2012:chair/metadata,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/metadata,rdfs:label,ISWC2012 Metadata Chair
swc:hasRole,iswc2012:chair/poster-demo,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/poster-demo,rdfs:label,ISWC2012 Poster and Demo Chair
swc:hasRole,iswc2012:chair/proceedings,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/proceedings,rdfs:label,ISWC2012 Proceedings Chair
swc:hasRole,iswc2012:chair/publicity,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/publicity,rdfs:label,ISWC2012 Publicity Chair
swc:hasRole,iswc2012:chair/research,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/research,rdfs:label,ISWC2012 Program Chair
swc:hasRole,iswc2012:chair/semantic-web-challenge,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/semantic-web-challenge,rdfs:label,ISWC2012 Semantic Web Challenge Chair
swc:hasRole,iswc2012:chair/sponsorship,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/sponsorship,rdfs:label,ISWC2012 Sponsorship Chair
swc:hasRole,iswc2012:chair/webmaster,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/webmaster,rdfs:label,ISWC2012 Webmaster Chair
swc:hasRole,iswc2012:chair/workshop-tutorial,rdf:type,swc:Chair
swc:hasRole,iswc2012:chair/workshop-tutorial,rdfs:label,ISWC2012 Worshop and Tutorial Chair
swc:isSuperEventOf,iswc2012:break-2012-11-13-1,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:break-2012-11-13-1,rdfs:label,Coffee Break
swc:isSuperEventOf,iswc2012:break-2012-11-13-1,iCal:dtEnd,2012-11-13T11:00:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-13-1,iCal:dtStart,2012-11-13T10:30:00+05:00
swc:isSuperEventOf,iswc2012:break-2012-11-13-2,rdf:type,swc:BreakEvent
swc:isSuperEventOf,iswc2012:break-2012-11-13-2,rdfs:label,Coffee Break
