start,end,c,locationLabel,eventLabel,s,roleLabel,personLabel,affliationLabel,keywords,homepage,abstract
2012-11-10T09:00:00+05:00,2012-11-10T17:00:00+05:00,swc:SpecialEvent,,Code for Science Linked Datathon,iswc2012:special/code-for-science-linked-datathon,,,,,http://www.codeforscience.com/boston,"The world is changing fast and so is Elsevier. To build and deploy future research tools we need to seriously collaborate in a linked and distributed environment. Building on earlier developer events such as Executable Paper Challenge, Life Sciences Challenge and Apps for Science, Elsevier and the 11th International Semantic Web Conference are co-hosting CodeForScience Boston, a competition for building a tool that best extends how scientific researchers search, process, integrate and share. The application concept formulation and submission will take place online, followed by a live coding day on Saturday, November 10th at MIT Stata Center in Cambridge, MA. Prizes will be awarded. Registration for CodeForScience Boston will open in early October."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cambridge,8th International Workshop on Uncertainty Reasoning for the Semantic Web,workshop:ursw/2012,Workshop Chair,Fernando Bobillo,,"Uncertainty reasoning, Uncertainty representation, Imperfect knowledge, Probabilistic ontologies, Fuzzy ontologies",http://iswc2012.semanticweb.org/workshops/URSW2012,"This workshop will discuss different approach to deal with uncertainty (in a wide sense) in the Semantic Web. Uncertainty is an unavoidable factor in several processes, such as knowledge interchange and application interoperability, and Semantic Web data, which are usually incomplete, inconsistent, and inaccurate. This suggests the need to apply different formalisms (probability,  fuzzy logic, decision theory, etc.) to enrich Semantic Web technologies and applications."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cambridge,8th International Workshop on Uncertainty Reasoning for the Semantic Web,workshop:ursw/2012,Workshop Chair,Kathryn Laskey,,"Uncertainty reasoning, Uncertainty representation, Imperfect knowledge, Probabilistic ontologies, Fuzzy ontologies",http://iswc2012.semanticweb.org/workshops/URSW2012,"This workshop will discuss different approach to deal with uncertainty (in a wide sense) in the Semantic Web. Uncertainty is an unavoidable factor in several processes, such as knowledge interchange and application interoperability, and Semantic Web data, which are usually incomplete, inconsistent, and inaccurate. This suggests the need to apply different formalisms (probability,  fuzzy logic, decision theory, etc.) to enrich Semantic Web technologies and applications."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cambridge,8th International Workshop on Uncertainty Reasoning for the Semantic Web,workshop:ursw/2012,Workshop Chair,Matthias Nickles,,"Uncertainty reasoning, Uncertainty representation, Imperfect knowledge, Probabilistic ontologies, Fuzzy ontologies",http://iswc2012.semanticweb.org/workshops/URSW2012,"This workshop will discuss different approach to deal with uncertainty (in a wide sense) in the Semantic Web. Uncertainty is an unavoidable factor in several processes, such as knowledge interchange and application interoperability, and Semantic Web data, which are usually incomplete, inconsistent, and inaccurate. This suggests the need to apply different formalisms (probability,  fuzzy logic, decision theory, etc.) to enrich Semantic Web technologies and applications."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cambridge,8th International Workshop on Uncertainty Reasoning for the Semantic Web,workshop:ursw/2012,Workshop Chair,Nicola Fanizzi,,"Uncertainty reasoning, Uncertainty representation, Imperfect knowledge, Probabilistic ontologies, Fuzzy ontologies",http://iswc2012.semanticweb.org/workshops/URSW2012,"This workshop will discuss different approach to deal with uncertainty (in a wide sense) in the Semantic Web. Uncertainty is an unavoidable factor in several processes, such as knowledge interchange and application interoperability, and Semantic Web data, which are usually incomplete, inconsistent, and inaccurate. This suggests the need to apply different formalisms (probability,  fuzzy logic, decision theory, etc.) to enrich Semantic Web technologies and applications."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cambridge,8th International Workshop on Uncertainty Reasoning for the Semantic Web,workshop:ursw/2012,Workshop Chair,Paulo Costa,,"Uncertainty reasoning, Uncertainty representation, Imperfect knowledge, Probabilistic ontologies, Fuzzy ontologies",http://iswc2012.semanticweb.org/workshops/URSW2012,"This workshop will discuss different approach to deal with uncertainty (in a wide sense) in the Semantic Web. Uncertainty is an unavoidable factor in several processes, such as knowledge interchange and application interoperability, and Semantic Web data, which are usually incomplete, inconsistent, and inaccurate. This suggests the need to apply different formalisms (probability,  fuzzy logic, decision theory, etc.) to enrich Semantic Web technologies and applications."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cambridge,8th International Workshop on Uncertainty Reasoning for the Semantic Web,workshop:ursw/2012,Workshop Chair,Rommel N. Carvalho,,"Uncertainty reasoning, Uncertainty representation, Imperfect knowledge, Probabilistic ontologies, Fuzzy ontologies",http://iswc2012.semanticweb.org/workshops/URSW2012,"This workshop will discuss different approach to deal with uncertainty (in a wide sense) in the Semantic Web. Uncertainty is an unavoidable factor in several processes, such as knowledge interchange and application interoperability, and Semantic Web data, which are usually incomplete, inconsistent, and inaccurate. This suggests the need to apply different formalisms (probability,  fuzzy logic, decision theory, etc.) to enrich Semantic Web technologies and applications."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cambridge,8th International Workshop on Uncertainty Reasoning for the Semantic Web,workshop:ursw/2012,Workshop Chair,Thomas Lukasiewicz,,"Uncertainty reasoning, Uncertainty representation, Imperfect knowledge, Probabilistic ontologies, Fuzzy ontologies",http://iswc2012.semanticweb.org/workshops/URSW2012,"This workshop will discuss different approach to deal with uncertainty (in a wide sense) in the Semantic Web. Uncertainty is an unavoidable factor in several processes, such as knowledge interchange and application interoperability, and Semantic Web data, which are usually incomplete, inconsistent, and inaccurate. This suggests the need to apply different formalisms (probability,  fuzzy logic, decision theory, etc.) to enrich Semantic Web technologies and applications."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cabot,First Workshop on Programming the Semantic Web,workshop:psw/2012,Workshop Chair,Evelyne Viegas,,"Programming languages for the Semantic Web, Information and Data Management, Semantic Web Technology Stack",http://iswc2012.semanticweb.org/workshops/psw12.inf.puc-rio.br,"The Semantic Web is growing at an enormous pace. However, the development of semantic web software applications is not yet mainstream. Reasons for that include one (or more) of the following research issues: lack of integrated development environments (IDEs, such as Visual Studio and Eclipse), poor programming language support, lack of standard testbeds and/or benchmarks, inadequate training, and perhaps the need for curricula revision. Properly addressing these issues requires interdisciplinary skills, and the collaboration between academia and industry. The First Workshop on Programming the Semantic Web invites submissions that explore the gap between todays semantic web challenges, particularly the ones related to dealing with large amounts of data, with the lack of adequate tools. We are looking for contributions that discuss, promote and further advance the programming facet of the semantic web, including the development of new languages, extension of existing ones, and the inclusion of semantic enabled capabilities into existing IDEs."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cabot,First Workshop on Programming the Semantic Web,workshop:psw/2012,Workshop Chair,Jan Vitek,,"Programming languages for the Semantic Web, Information and Data Management, Semantic Web Technology Stack",http://iswc2012.semanticweb.org/workshops/psw12.inf.puc-rio.br,"The Semantic Web is growing at an enormous pace. However, the development of semantic web software applications is not yet mainstream. Reasons for that include one (or more) of the following research issues: lack of integrated development environments (IDEs, such as Visual Studio and Eclipse), poor programming language support, lack of standard testbeds and/or benchmarks, inadequate training, and perhaps the need for curricula revision. Properly addressing these issues requires interdisciplinary skills, and the collaboration between academia and industry. The First Workshop on Programming the Semantic Web invites submissions that explore the gap between todays semantic web challenges, particularly the ones related to dealing with large amounts of data, with the lack of adequate tools. We are looking for contributions that discuss, promote and further advance the programming facet of the semantic web, including the development of new languages, extension of existing ones, and the inclusion of semantic enabled capabilities into existing IDEs."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cabot,First Workshop on Programming the Semantic Web,workshop:psw/2012,Workshop Chair,Karin Breitman,,"Programming languages for the Semantic Web, Information and Data Management, Semantic Web Technology Stack",http://iswc2012.semanticweb.org/workshops/psw12.inf.puc-rio.br,"The Semantic Web is growing at an enormous pace. However, the development of semantic web software applications is not yet mainstream. Reasons for that include one (or more) of the following research issues: lack of integrated development environments (IDEs, such as Visual Studio and Eclipse), poor programming language support, lack of standard testbeds and/or benchmarks, inadequate training, and perhaps the need for curricula revision. Properly addressing these issues requires interdisciplinary skills, and the collaboration between academia and industry. The First Workshop on Programming the Semantic Web invites submissions that explore the gap between todays semantic web challenges, particularly the ones related to dealing with large amounts of data, with the lack of adequate tools. We are looking for contributions that discuss, promote and further advance the programming facet of the semantic web, including the development of new languages, extension of existing ones, and the inclusion of semantic enabled capabilities into existing IDEs."
2012-11-11T09:00:00+05:00,2012-11-11T17:30:00+05:00,swc:WorkshopEvent,Cabot,First Workshop on Programming the Semantic Web,workshop:psw/2012,Workshop Chair,Steffen Staab,,"Programming languages for the Semantic Web, Information and Data Management, Semantic Web Technology Stack",http://iswc2012.semanticweb.org/workshops/psw12.inf.puc-rio.br,"The Semantic Web is growing at an enormous pace. However, the development of semantic web software applications is not yet mainstream. Reasons for that include one (or more) of the following research issues: lack of integrated development environments (IDEs, such as Visual Studio and Eclipse), poor programming language support, lack of standard testbeds and/or benchmarks, inadequate training, and perhaps the need for curricula revision. Properly addressing these issues requires interdisciplinary skills, and the collaboration between academia and industry. The First Workshop on Programming the Semantic Web invites submissions that explore the gap between todays semantic web challenges, particularly the ones related to dealing with large amounts of data, with the lack of adequate tools. We are looking for contributions that discuss, promote and further advance the programming facet of the semantic web, including the development of new languages, extension of existing ones, and the inclusion of semantic enabled capabilities into existing IDEs."
