s,personLabel,firstName,lastName,listAffiliation,affiliationLabel
person:abir-qasem,Abir Qasem,Abir,Qasem,Bridgewater College,Bridgewater College
person:abraham-bernstein,Abraham Bernstein,Abraham,Bernstein,University of Zurich,University of Zurich
person:achille-fokoue,Achille Fokoue,Achille,Fokoue,IBM Research,IBM Research
person:adila-a-krisnadhi,Adila A. Krisnadhi,Adila,Krisnadhi,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:aditya-kalyanpur,Aditya Kalyanpur,Aditya,Kalyanpur,IBM Research,IBM Research
person:adrian-mocan,Adrian Mocan,Adrian,Mocan,SAP,SAP
person:adrian-paschke,Adrian Paschke,Adrian,Paschke,Free University of Berlin,Free University of Berlin
person:aibo-tian,Aibo Tian,Aibo,Tian,University of Texas at Austin,University of Texas at Austin
person:aidan-hogan,Aidan Hogan,Aidan,Hogan,"DERI, NUI Galway","DERI, NUI Galway"
person:alan-eckhardt,Alan Eckhardt,Alan,Eckhardt,University of Aberdeen,University of Aberdeen
person:alasdair-j-g-gray,Alasdair J. G. Gray,Alasdair,Gray,University of Manchester,University of Manchester
person:alberto-lavelli,Alberto Lavelli,Alberto,Lavelli,Fondazione Bruno Kessler,Fondazione Bruno Kessler
person:alberto-musetti,Alberto Musetti,Alberto,Musetti,University of Bologna,University of Bologna
person:aldo-gangemi,Aldo Gangemi,Aldo,Gangemi,"STLab, ISTC-CNR","STLab, ISTC-CNR"
person:alejandro-rodriguez-gonzalez,Alejandro Rodríguez González,Alejandro,Rodríguez González,Bioinformatics at Centre for Plant Biotechnology and Genomics UPM-INIA,Bioinformatics at Centre for Plant Biotechnology and Genomics UPM-INIA
person:alessandro-bozzon,Alessandro Bozzon,Alessandro,Bozzon,Politecnico di Milano,Politecnico di Milano
person:alessio-palmero-aprosio,Alessio Palmero Aprosio,Alessio,Palmero Aprosio,Fondazione Bruno Kessler,Fondazione Bruno Kessler
person:alex-crow,Alex Crow,Alex,Crow,UALR,UALR
person:alex-stolz,Alex Stolz,Alex,Stolz,University of Mynuch,University of Mynuch
person:alexander-borgida,Alexander Borgida,Alexander,Borgida,Rutgers University,Rutgers University
person:alexander-ivanyukovich,Alexander Ivanyukovich,Alexander,Ivanyukovich,"Trient Consulting Group S.r.l., Italy","Trient Consulting Group S.r.l., Italy"
person:alexander-loser,Alexander Löser,Alexander,Löser,Berlin Institute of Technology,Berlin Institute of Technology
person:alexander-seeliger,Alexander Seeliger,Alexander,Seeliger,TU Darmstadt,TU Darmstadt
person:alexandra-poulovassilis,Alexandra Poulovassilis,Alexandra,Poulovassilis,"Birkbeck College, University of London","Birkbeck College, University of London"
person:alexandre-passant,Alexandre Passant,Alexandre,Passant,"DERI, NUI Galway","DERI, NUI Galway"
person:alexey-boyarsky,Alexey Boyarsky,Alexey,Boyarsky,EPFL,EPFL
person:alois-haselboeck,Alois Haselboeck,Alois,Haselboeck,Siemens AG,Siemens AG
person:amal-zouaq,Amal Zouaq,Amal,Zouaq,Royal Military College of Canada,Royal Military College of Canada
person:amar-djalil-mezaour,Amar Djalil Mezaour,Amar Djalil,Mezaour,"EXALEAD, Dassault Systèmes","EXALEAD, Dassault Systèmes"
person:amel-bennaceur,Amel Bennaceur,Amel,Bennaceur,INRIA,INRIA
person:amit-sheth,Amit Sheth,Amit,Sheth,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:ana-armas,Ana Armas,Ana,Armas,University of Oxford,University of Oxford
person:anastasia-analyti,Anastasia Analyti,Anastasia,Analyti,FORTH-ICS,FORTH-ICS
person:anastasios-kementsietsidis,Anastasios Kementsietsidis,Anastasios,Kementsietsidis,IBM Research,IBM Research
person:andrea-giovanni-nuzzolese,Andrea Giovanni Nuzzolese,Andrea,Nuzzolese,"University of Bologna;STLab, ISTC-CNR","STLab, ISTC-CNR"
person:andrea-giovanni-nuzzolese,Andrea Giovanni Nuzzolese,Andrea,Nuzzolese,"University of Bologna;STLab, ISTC-CNR",University of Bologna
person:andrea-maurino,Andrea Maurino,Andrea,Maurino,University of Milano-Bicocca,University of Milano-Bicocca
person:andreas-harth,Andreas Harth,Andreas,Harth,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:andreas-hotho,Andreas Hotho,Andreas,Hotho,University of Wuerzburg,University of Wuerzburg
person:andreas-thalhammer,Andreas Thalhammer,Andreas,Thalhammer,University of Innsbruck,University of Innsbruck
person:andreas-thor,Andreas Thor,Andreas,Thor,University of Leipzig,University of Leipzig
person:andreas-zankl,Andreas Zankl,Andreas,Zankl,University of Queensland,University of Queensland
person:andrew-sellers,Andrew Sellers,Andrew,Sellers,University of Oxford,University of Oxford
person:andriana-gkaniatsou,Andriana Gkaniatsou,Andriana,Gkaniatsou,University of Edinburgh,University of Edinburgh
person:angel-garcia-crespo,Angel García Crespo,Angel,García Crespo,University Carlos III of Madrid,University Carlos III of Madrid
person:anika-schumann,Anika Schumann,Anika,Schumann,IBM Research,IBM Research
person:anisa-rula,Anisa Rula,Anisa,Rula,University of Milano-Bicocca,University of Milano-Bicocca
person:annika-hinze,Annika Hinze,Annika,Hinze,University of Waikato,University of Waikato
person:ansgar-scherp,Ansgar Scherp,Ansgar,Scherp,University of Koblenz and Landau,University of Koblenz and Landau
person:antoine-isaac,Antoine Isaac,Antoine,Isaac,VU Amsterdam,VU Amsterdam
person:antoine-zimmermann,Antoine Zimmermann,Antoine,Zimmermann,École des Mines de Saint-Étienne,École des Mines de Saint-Étienne
person:anupriya-ankolekar,Anupriya Ankolekar,Anupriya,Ankolekar,HP Labs,HP Labs
person:arantza-illarramendi,Arantza Illarramendi,Arantza,Illarramendi,Basque Country University,Basque Country University
person:archana-venbakam,Archana Venbakam,Archana,Venbakam,YarcData,YarcData
person:aris-gkoulalas-divanis,Aris Gkoulalas-Divanis,Aris,Gkoulalas-Divanis,IBM Research,IBM Research
person:armin-haller,Armin Haller,Armin,Haller,"DERI, NUI Galway","DERI, NUI Galway"
person:arne-peters,Arne Peters,Arne,Peters,University of Koblenz and Landau,University of Koblenz and Landau
