s,personLabel,paper,roleLabel,event,listAffiliation
person:abir-qasem,Abir Qasem,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Bridgewater College
person:abraham-bernstein,Abraham Bernstein,,ISWC2012 General Chair,http://data.semanticweb.org/conference/iswc/2012,University of Zurich
person:abraham-bernstein,Abraham Bernstein,,ISWC2012 Session Mediator,iswc2012:social/town-hall-meeting,University of Zurich
person:abraham-bernstein,Abraham Bernstein,iswc2012:proceedings,,,University of Zurich
person:achille-fokoue,Achille Fokoue,,PC Member at ISWC2012(Research Track),iswc2012:track/research,IBM Research
person:achille-fokoue,Achille Fokoue,,Workshop Chair,workshop:swws_hpcsw/2012,IBM Research
person:achille-fokoue,Achille Fokoue,iswc2012:paper/research-23,,,IBM Research
person:adila-a-krisnadhi,Adila A. Krisnadhi,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"Kno.e.sis Center, Wright State University"
person:aditya-kalyanpur,Aditya Kalyanpur,,Workshop Chair,workshop:wole/2012,IBM Research
person:aditya-kalyanpur,Aditya Kalyanpur,iswc2012:paper/inuse-32,,,IBM Research
person:adrian-mocan,Adrian Mocan,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,SAP
person:adrian-paschke,Adrian Paschke,iswc2012:paper/research-07,,,Free University of Berlin
person:aibo-tian,Aibo Tian,iswc2012:paper/poster-demo-41,,,University of Texas at Austin
person:aidan-hogan,Aidan Hogan,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,"DERI, NUI Galway"
person:aidan-hogan,Aidan Hogan,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:aidan-hogan,Aidan Hogan,iswc2012:paper/research-12,,,"DERI, NUI Galway"
person:aidan-hogan,Aidan Hogan,iswc2012:paper/semantic-web-challenge-btc-03,,,"DERI, NUI Galway"
person:alan-eckhardt,Alan Eckhardt,iswc2012:paper/inuse-54,,,University of Aberdeen
person:alan-eckhardt,Alan Eckhardt,iswc2012:paper/poster-demo-61,,,University of Aberdeen
person:alasdair-j-g-gray,Alasdair J. G. Gray,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Manchester
person:alberto-lavelli,Alberto Lavelli,iswc2012:paper/poster-demo-24,,,Fondazione Bruno Kessler
person:alberto-musetti,Alberto Musetti,iswc2012:paper/research-13,,,University of Bologna
person:aldo-gangemi,Aldo Gangemi,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"STLab, ISTC-CNR"
