domain,p,range,cnt
dgtwc:Dataset,dgtwc:number_of_triples,,1
dgtwc:Dataset,dcterms:creator,foaf:Person,1
dgtwc:Dataset,dcterms:hasVersion,,1
dgtwc:Dataset,dcterms:modified,,1
dgtwc:Dataset,rdf:type,,1
swc:BreakEvent,swc:hasLocation,swc:MeetingRoomPlace,10
swc:BreakEvent,swc:isSubEventOf,swc:ConferenceEvent,11
swc:BreakEvent,rdf:type,,11
swc:BreakEvent,rdfs:label,,11
swc:BreakEvent,iCal:dtEnd,,11
swc:BreakEvent,iCal:dtStart,,11
swc:Chair,swc:heldBy,,1
swc:Chair,swc:heldBy,foaf:Person,169
swc:Chair,swc:isRoleAt,swc:ConferenceEvent,16
swc:Chair,swc:isRoleAt,swc:SessionEvent,27
swc:Chair,swc:isRoleAt,swc:SpecialEvent,1
swc:Chair,swc:isRoleAt,swc:TrackEvent,7
swc:Chair,swc:isRoleAt,swc:TutorialEvent,9
swc:Chair,swc:isRoleAt,swc:WorkshopEvent,18
swc:Chair,rdf:type,,71
swc:Chair,rdfs:label,,71
swc:ConferenceEvent,swc:completeGraph,dgtwc:Dataset,1
swc:ConferenceEvent,swc:hasAcronym,,1
swc:ConferenceEvent,swc:hasRelatedDocument,swc:Proceedings,4
swc:ConferenceEvent,swc:hasRole,swc:Chair,16
swc:ConferenceEvent,swc:isSuperEventOf,,78
swc:ConferenceEvent,swc:isSuperEventOf,swc:BreakEvent,11
swc:ConferenceEvent,swc:isSuperEventOf,swc:PanelEvent,1
swc:ConferenceEvent,swc:isSuperEventOf,swc:SessionEvent,27
swc:ConferenceEvent,swc:isSuperEventOf,swc:SocialEvent,2
swc:ConferenceEvent,swc:isSuperEventOf,swc:SpecialEvent,15
swc:ConferenceEvent,swc:isSuperEventOf,swc:TalkEvent,4
swc:ConferenceEvent,swc:isSuperEventOf,swc:TrackEvent,7
swc:ConferenceEvent,swc:isSuperEventOf,swc:TutorialEvent,9
swc:ConferenceEvent,swc:isSuperEventOf,swc:WorkshopEvent,18
swc:ConferenceEvent,rdf:type,,1
swc:ConferenceEvent,rdfs:label,,1
swc:ConferenceEvent,rdfs:seeAlso,,1
swc:ConferenceEvent,owl:sameAs,,1
swc:ConferenceEvent,foaf:based_near,,1
swc:ConferenceEvent,foaf:homepage,,1
swc:ConferenceEvent,foaf:logo,,1
swc:ConferenceVenuePlace,swrc:address,,1
swc:ConferenceVenuePlace,swrc:fax,,1
swc:ConferenceVenuePlace,swrc:phone,,1
swc:ConferenceVenuePlace,rdf:type,,1
swc:ConferenceVenuePlace,rdfs:comment,,1
swc:ConferenceVenuePlace,rdfs:label,,1
swc:ConferenceVenuePlace,foaf:homepage,,1
swc:KeynoteSpeaker,swc:heldBy,foaf:Person,1
swc:KeynoteSpeaker,swc:isRoleAt,swc:TalkEvent,1
swc:KeynoteSpeaker,rdf:type,,1
swc:KeynoteSpeaker,rdfs:label,,1
swc:Mediator,swc:heldBy,foaf:Person,1
swc:Mediator,swc:isRoleAt,swc:SocialEvent,1
swc:Mediator,rdf:type,,1
swc:Mediator,rdfs:label,,1
swc:MeetingRoomPlace,swc:isPartOf,swc:ConferenceVenuePlace,23
swc:MeetingRoomPlace,rdf:type,,23
swc:MeetingRoomPlace,rdfs:label,,23
swc:PanelEvent,swc:hasLocation,swc:MeetingRoomPlace,1
swc:PanelEvent,swc:hasRole,swc:Panellist,1
swc:PanelEvent,swc:isSubEventOf,swc:ConferenceEvent,1
swc:PanelEvent,swrc:abstract,,1
swc:PanelEvent,rdf:type,,1
swc:PanelEvent,rdfs:label,,1
swc:PanelEvent,iCal:dtEnd,,1
swc:PanelEvent,iCal:dtStart,,1
swc:PanelEvent,foaf:homepage,,1
swc:Panellist,swc:heldBy,foaf:Person,5
swc:Panellist,swc:isRoleAt,swc:PanelEvent,1
swc:Panellist,rdf:type,,1
swc:Panellist,rdfs:label,,1
swc:Proceedings,swc:relatedToEvent,swc:ConferenceEvent,4
swc:Proceedings,swc:relatedToEvent,swc:TrackEvent,3
