track,group,sessionIndexInTrack,sessionDate,sessionTimeStart,sessionTimeEnd,sessionTitle,sessionRoom,sessionChair,paperKey,paperIndexInTrack,paperIndexInSession,paperTitle,paperAuthorList,paperSpotlight,paperPdfLink,paperPdfLinkFile,paperDemoLink,paperAuthorAffiliation,paperKeywordList,paperAbstract,idLncs,idEasyChair,EOL
﻿"track/research","","01","","11:00","12:30","Linked Data","Georgian","Tom Heath","","01","01","On the Diversity and Availability of Temporal Information in Linked Open Data","Anisa Rula, Palmonari Matteo, Andreas Harth, Steffen Stadtmüller and Andrea Maurino","","http://iswc2012.semanticweb.org/sites/default/files/76490481.pdf","pdf/76490481.pdf","","","","","","",
﻿"track/research","","01","","11:00","12:30","Linked Data","Georgian","Tom Heath","","02","02","Rapidly Integrating Services into the Linked Data Cloud","Mohsen Taheriyan, Craig Knoblock, Pedro Szekely and José Luis Ambite","","http://iswc2012.semanticweb.org/sites/default/files/76490545.pdf","pdf/76490545.pdf","","","","","","",
﻿"track/research","","01","","11:00","12:30","Linked Data","Georgian","Tom Heath","","03","03","Link Discovery with Guaranteed Reduction Ratio in Affine Spaces with Minkowsky Measures","Axel-Cyrille Ngonga Ngomo","","http://iswc2012.semanticweb.org/sites/default/files/76490369.pdf","pdf/76490369.pdf","","","","","","",
﻿"track/research","","02","","11:00","12:30","Description Logic","Plaza","Pascal Hitzler","","04","01","The Not-So-Easy Task of Computing Class Subsumptions in OWL RL","Markus Krötzsch","spotlight","http://iswc2012.semanticweb.org/sites/default/files/76490273.pdf","pdf/76490273.pdf","","","","","","",
﻿"track/research","","02","","11:00","12:30","Description Logic","Plaza","Pascal Hitzler","","05","02","MORe: Modular Combination of OWL Reasoners for Ontology Classification","Ana Armas, Bernardo Cuenca Grau and Ian Horrocks","","http://iswc2012.semanticweb.org/sites/default/files/76490001.pdf","pdf/76490001.pdf","","","","","","",
﻿"track/research","","02","","11:00","12:30","Description Logic","Plaza","Pascal Hitzler","","06","03","Concept-Based Semantic Difference in Expressive Description Logics","Rafael S. Gonçalves, Bijan Parsia and Ulrike Sattler","","http://iswc2012.semanticweb.org/sites/default/files/76490097.pdf","pdf/76490097.pdf","","","","","","",
﻿"track/research","","03","","02:00","03:30","User Interfaces and Personalization","Plaza","Natasha Noy","","07","01","Semantic Enrichment by Non-Experts: Usability of Manual Annotation Tools","Annika Hinze, Ralf Heese, Markus Luczak-Rösch and Adrian Paschke","spotlight","http://iswc2012.semanticweb.org/sites/default/files/76490161.pdf","pdf/76490161.pdf","","","","","","",
﻿"track/research","","03","","02:00","03:30","User Interfaces and Personalization","Plaza","Natasha Noy","","08","02","Personalised Graph-based Selection of Web APIs","Milan Dojchinovski, Jaroslav Kuchar, Tomas Vitvar and Maciej Zaremba","spotlight","http://iswc2012.semanticweb.org/sites/default/files/76490033.pdf","pdf/76490033.pdf","","","","","","",
﻿"track/research","","03","","02:00","03:30","User Interfaces and Personalization","Plaza","Natasha Noy","","09","03","Collaborative Filtering by Analyzing Dynamic User Interests Modeled by Taxonomy","Makoto Nakatsuji, Yasuhiro Fujiwara, Toshio Uchiyama and Hiroyuki Toda","","http://iswc2012.semanticweb.org/sites/default/files/76490353.pdf","pdf/76490353.pdf","","","","","","",
﻿"track/research","","04","","02:00","03:30","Queries","Georgian","Maria-Esther Vidal","","10","01","Efficient Execution of Top-k SPARQL Queries","Sara Magliacane, Alessandro Bozzon and Emanuele Della Valle","","http://iswc2012.semanticweb.org/sites/default/files/76490337.pdf","pdf/76490337.pdf","","","","","","",
﻿"track/research","","04","","02:00","03:30","Queries","Georgian","Maria-Esther Vidal","","11","02","Cost Based Query Ordering over OWL Ontologies","Ilianna Kollia and Birte Glimm","","http://iswc2012.semanticweb.org/sites/default/files/76490225.pdf","pdf/76490225.pdf","","","","","","",
﻿"track/research","","04","","02:00","03:30","Queries","Georgian","Maria-Esther Vidal","","12","03","Hybrid SPARQL Queries: Fresh vs. Fast Results","Jürgen Umbrich, Marcel Karnstedt, Aidan Hogan and Josiane Xavier Parreira","","http://iswc2012.semanticweb.org/sites/default/files/76490593.pdf","pdf/76490593.pdf","","","","","","",
﻿"track/research","","05","","04:00","05:30","Knowledge Discovery","Plaza","Jens Lehmann","","13","01","Automatic Typing of DBpedia Entities","Aldo Gangemi, Andrea Giovanni Nuzzolese, Valentina Presutti, Francesco Draicchio, Alberto Musetti and Paolo Ciancarin","","http://iswc2012.semanticweb.org/sites/default/files/76490065.pdf","pdf/76490065.pdf","","","","","","",
﻿"track/research","","05","","04:00","05:30","Knowledge Discovery","Plaza","Jens Lehmann","","14","02","Who will Follow Whom? Exploiting Semantics for Link Prediction in Attention-Information Networks","Matthew Rowe, Milan Stankovic and Harith Alani","","http://iswc2012.semanticweb.org/sites/default/files/76490465.pdf","pdf/76490465.pdf","","","","","","",
